lemma	semantic_tags
أَعْطَى	 A9- A1.1.1 S6+ S7.4+
إِجْراء	 A1.1.1 X4.2 M1 T1.2 G2.1
مَثَّل	 Q1.1 A6.2+ S1.1.3 A5.4- K4 A3+ A1.8+ A1.1.1 G2.1 T1.1.2 A8 
مَجْمُوعَة	 S5+ A9+ A4.1 A4.1 G1.1/S5+
وَحْدَة	 S5+ O2 H1 N3.1 P1 N1 S9% G3 S1.1.3+ S1.2 
قِراءَة	 Q3 Q1.2 X3.2+ X2.5+ P1 A10+ G2.1 A1.1.1 X2.1 
ٱِعْتَقَد	 X2.1 S9
مَوْقِف	 M6 M7 S7.1 S1.1.1 A1.1.1 X4.1
لَوْن	 O4.3 A4.1 A6.2+ S1.2 Q1.2 A1.1.1 
أُسْلُوب	 X4.2 O4.1 O4.2+ A4.1 Q3 A1.1.1 Q2.2 S1.1.1 Q1.2 
مُؤَسَّسَة	 S5+ S7.1+ H1 S1.1.1 T2+ 
فُنْدُق	 H4/H1 
زِيارَة	 S1.1.1 M1 
عادَة	 S1.1.1 A6.2+ B5@ I2.2 A1.1.1 I3.1/S5+ G2.1/I2.2 A4.2+ A4.2- A13.2 I1.1/G1.1 
تُراث	 A9+/S1.1.1 T1.1.1 C1/T1.1.1 H1
مَسْأَلَة	 X4.1 Q4.2 S4 A9- A1.1.1 S1.1.1 A11.1+ Q2.2 S6 N2 
مَوْضُوع	 X4.1 P1 A1.1.1 S7.1+ K2 Q1.2 Q4.2 S4 A9- M2 M6 G2.1 X2.4 
أَقَلّ	 M2 A9+ M3 M4 M5 N5-/A2.1 N3.2-/A2.1 A12-/A2.1 A2.2 F1 N5.1- A11.1--- A13.7 N3.2--- N3.7--- N5--- T3--- S5---/I2.1 X3.2- A5.1--- Z5 N5-- A13.6 A6.3
ٱِتِّجاه	 M6 Q2.2 S7.1+ X4.2 X7+ M7/K5.1 M1 X4.1 X3.4 A4.1 X2.1 X2.4 X2.1/A5 X6+ 
حاجَة	 S6+ O2 X4.1 A7- B5 A9
أَرْبَع	 N1 T3 T1.2 N5+ I1 N4
إِنْسانِيّ	 S2 S1.2.1+ S2mf G2.2+ S8+ S1.2.3-/S2mf 
وَسِيلَة	 X4.2 I1.1 N2 O2 Q1.1 B3 Y1 
تَطْوِير	 A2.1+ A5.1+/A2.1 H1 A5.1+/A2.1+ S8+ I2.2/Q2.2 
شَدِيد	 S1.2.5+ A5.1+ X5.2+ S7.1+ X9.1+ O4.1 S1.2.3+ A5.1- S1.2.1- O4.2- 
أَقام	 A1.1.1 S1.1.1 T2+ X6+ O4.4 M2 H1 H4 K2/K3 K1 G3 A3 S9
أُسْتاذ	 P1/S2mf  
ظَلّ-َ	M8 N5.2+ H1/T1.1.1 L1- T2++  
دَعْوَة	 Q2.2 S1.1.1 Q1.3 X7+ S9% 
جِسْم	 B1 O2 O4.1 S2mf A4.1 O4.4 G2.1-@ Y1
آيَة	 S9 O4.2+ Q1.1 A6.2+ X4.1 Q1.2 O4.1 A5.1+ X2.1 
مُعْظَم	N5.1++ N6 N5.1/A2.1 A13.3 T1.1+++ S5/N5.1++
مَسْؤُول	 G1.1 S7.4+ G1.1/S2m S7.1+/S2mf A2.2 S6+ S7.1 S1.2.6+ X6+ A5.1+ 
قَرار	 X6+ X9.2+ X2.1 X4.1
زِيادَة	 N5+/A2.1 N5++ N2 
عَشْر	 N1 T3 N5+ I1 N4
مَصْدَر	 T2+ Q1.1 X2.2 W3/M4 A9+ Q3 I1 
خَرَج-ُ	 M1 T2- M7 L1-@ K1/T1.3 S7.4+ M2 A1.1.1 A1.9 A9- 
أَفْضَل	 A5.1++ G2.2++ O4.2++  
ٱِسْتَخْدَم	 A1.5.1 S7.1+ I3.1 A1.1.1 B3 
قائِم	 A1.1.1 T2++ A3+ T1.1.2 A2.2 O4.1 M8 M6 S7.1 M2 G1.2 S8+ I2. O4.4 M6/O2 
بَيْنَما	 Z5 T1.3 N4 M6 
أَسْوَد	 O4.3 G2.2- A5.1- E4.1-
خَطّ	 Q1.2 Q3 C1/Q1.2 O4.4 Q1.3 X4.2 A1.7+ I3.1 M4@ G3@ K5.1@ A1.1.1 
مُدَّة	 T1.3 T1.1 
بِيئِيّ	 W5 W3 
عَقْد	 A9+ I1.1+ M7/F4 S1.1.1 X6+ T2- I2.1 G2.1 Q2.2 T1.3 
أَهَمِّيَّة	 A11.1+ 
كَأَنَّ	 Z5 A13 
هَيْئَة	 S5+ S7.1+ I2.2/S5+ G1.1
رِوايَة	 Q4.1 Q2.1 X4.1 Q4 A6.2- Q2.2 X3.2 P1 
غُرْفَة	 H2 N3.6 H4 S5+ O2 G2.1/H1 S5+ I2/H1
ذُو	 Z5 S4 S4c A4.1c 
لِماذا	 A2.2 
حَقَّق	 X9.2+ A9+ X2.5+ N3.3 X9.1+ M1 Q2.1 K5.1
بَشَرِيّ	 S2 S1.2.1+ S2mf 
حَقِيقِيّ	 A5.2+ A5.4+ A3+ A13.3 
رُؤْيَة	 X4.1 X3.4 X7+ S9@ A8 A4.1 X2.1 X2.4 Q4.3 X2.1/A5 X6+ 
ٱِحْتاج	 S6+ X7+ A7+ S3.2 A9- 
مَعْرُوف	 X2.2+ B2+ A5.1+ A13.3 A7+ A10+ E1+ 
لِما	 A2.2 
فِكْرَة	 X4.1 X7+ X2.1 
مَجَلَّة	 Q4.2 Q4.3 G3 O2 Q1.2 X2.4/Q1.2/P1 P1/Q1.2
لَجْنَة	 G1.1 S7.1+/S5+ A1.1.1 I1.1/I2.2 G3/S7.1+ I2.2 K5.1/S5+ Q4.3/S5+
هَيْكَل	 X4.2 O4.1 H1 S7.1 O2 A4.1 B1 X7+ M7/A15+ 
شَعَر-ُ	 E1 O4.5 X3 X2.1 
شَهِد-َ	  S9 A10+@ X3.4 G2.1 Q2.1 S7.1-@ X3.2 
سَبِيل	 X4.2 M6 M3/H3 N3.3 A1.1.1 A13.3 M3 S9 P1 
عِراقِيّ	 Z2 Z2/S2m Z2/S2mf
قَرَأ-َ	 Q1.2 Q3 X3.2+ X2.5+ P1 A10+ A1.1.1 S9 
دَم	 B1 B2
فِيلْم	 Q4.3 O2/C1 
طَبِيب	 B3/S2m B3/I3.2/S2m B3 B3/S2mf B3/I3.2/S2mf
جَيِّد	 A5.1+ G2.2+ O4.2+ A1.5.2+ N3.2+ B2+ A13.3 A7+ Z5 A10+ E1+ 
فَرِيق	 S5+ K5.1/S5+ A4.1 O2 A4.1 B3% S1.1.3+ G1.2 S1.1.3+/S2mf G3/S2m
نَحْو	 X4.2 M6 M3/H3 N3.3 A4.1 A1.1.1 T1.3 A13.3 S1.1.1 M1 E1 Q2.2 M7 N3.6 Q3 Q3/Q4.1 A13.4
سَواء	 Z7 Z5 E6+ A6.1+ 
رَسُول	 Q2.1/S2m S9/S2.2m S8+/S2m 
تَأْثِير	 A2.2 A8 S7.1+ A2.1+ A1.1.1 X2.1
جَمِيل	 O4.2+ S1.2.1+ A5.1+ A4.2+ O4.5 O4.1 W4 S8+ E2++ B4 
تَقْدِيم	 A9- Q2.2 A2.2 S1.1.3+ Q4.3 O4.1 K4 S8+
كَي	A2.2 B3/B1 O3
قاعِدَة	  M7 A1.1.1 O1 K5.1@ M6 A2.2 G2.1 X4.2 A6.2+ S7.1+ Q3 Q1.2 X6+ X4.1 G2.2+ G2.2 Q3/Q4.1 H2 H3/M5 G3/H1
س	Z5
مَحَطَّة	 M3/H1c G2.1/H1 Q4.3 M7 M3 T2- M8 A1.1.1@ 
سَأَل-َ	 Q2.2 X2.4 Q2.1 Q1.1
بُدّ	 A1.9 A1.7- X2.2-  Z6 
عُنْصُر	 A4.1 N5 S5+c O1 O3 O2 N2 N5.1- A1.8+ S7.3+ S2mf
سُلْطَة	 S7.1+ S1.2.5+ S7.4+ X2.2+ G2.1 X4.2 Q1.2 X6+ G1.1 
سَيِّد	 S2.2m 
مَنْزِل	 H4 H1  
دُولار	 I1 
هٰكَذا	 Z5/A2.2 A3+ Z5 
ٱِتِّصال	 S1.1.1 S2mf Q2.2 O3 Q2.1 Q1.2 Q1.3 Q4.3 A2.2 S5+ M3 A1.1.1 S4mf S3.1 S3.2 S4 
جامِعَة	 P1/H1 S5+ S7.3+  
مَحَلِّيّ	 M7 N3.3- 
مُحاوَلَة	 X8+ O2 X9.2 X9.1 A1.1.1
تَقْنِيّ	 Y1 I4 X9.1 Y1/S2m X9.1+/S2m
فَنّان	 C1/S2m K4/S2m K2/S2m 
جائِزَة	 A5.1+++ S1.1.4+ A11.1+ I1.3+ X7+ S7.1+ I1.1+ A5.1+/A2.2 
إِطار	 X4.2 A2.2 Q3 O2 O2/M3 H3 O2/M5 
مُؤْتَمَر	 S1.1.3+ A6.2+ A6.1+/G1.1 
سِياسَة	 G1.2 X7+ Q1.2 X4.2 G1.1 
شَكَّل	 A3+ A1.8+ A1.1.1 A4.1 O4.4 Q1.2 O4.1 H5@ K5.1@ G2.1-@ T2+ A2.1+ N5.1+ A1.1.1/O4.2+ E3+ G1.1
مَسْجِد	 S9/H1 
مَثَل	 A4.1 Q3 S9 M1 A1.1.1
أَخ	 S4m S2.2m S9/S2.2m 
ق	 Z5 
لَعَلَّ	 A7 Z5
ظَرْف	  S6+ S9% O2 B2- B2+ P1 A3+ I3.1@ Q3 Z5
مُسْتَقْبَل	 T1.1.3 
تَرَك-ُ	 M1 K1/T1.3 S7.4+  M2 A1.1.1 A1.9 A9- T2- I3.1- 
حَيَوان	 L2 L2mf  
إِسْرائِيلِيّ	 Z2 Z2/S2m
نَشْر	 A1.1.1 N3.6+/A2.1 N5+/A2.1 N5 T1.3 T2++ Q4 Q2.2 
حَدَث	 S1.1.1/X7+ A1.4 A3+/A5.1- A3+/A11.1+ A6.2- K5 
خُطَّة	 X4.2 X7+ C1/H1 X2.4 A10+ X2.6+ M2 O4.4 Q2.2 X2.1 X2.1/P1
مَن	 Z5 
ٱِعْتَمَد	 A2.2 S7.1- I3.1 A1.5.1 A9+ S4 X2.2+ X2.5+ S7.4+ G2.1+ S1.1.1 
حَجْم	 N3.4 N5 N3.2 N3.1 O4.1 B3/S9
تَحْدِيد	 A4.2+ O4.1 A4.2+ A1.7+
إِعادَة	 N6 S1.1.2+ I1.1 G1.1/Q1.2 K5.1 Y2% N6+ A1.1.1 Q4.3 G2.1 I2.2
عَرْض	 O4.1 Q2.2 S1.1.1 K4 A10+ Y2 Q4 X2.4 A8 I2.2/S1.1.1 I2.2 A9- A9+ S8+ N3.7 N3.3 A6.3+ 
صِحَّة	 B2 X9.2 A5.4+ A5.2+ A5.3+ G2.2+ G2.1
ذَهَب-َ	 M1 X8+ T2+ A2.1+ A1.1.1 A1.8+ N6+ T2- Q4.3 T1.3 S7.1- S7.4+ 
أَحْمَد	 Z1 S1.2 A5.1+++ A1.1.1/A5.1+++ 
مَذْهَب	 S1.1.1 X4.2 X4.1 A6.2+ A2.1+ S9/X4.1/S5
فُرْصَة	 A1.4 A7+ 
طَلَب-ُ	 Q2.1 Q2.2 I2.2 X7+ S8+ S3/S1.1.1 S6+ X2.4
ٱِتِّحاد	 I3.1/S5+ S5+ S4 I3.1/S5+ S5+ Z3 
مَجْمُوع	 A13.2 N5.1+ N5 S5+ A9+ N5+/A2.1 X2.5+ A1.1.1% N2
خَيْر	 A5.1+ G2.2+ A1.5.2+ A5.1++ G2.2++ A5.1++/S2mf 
أَعْلَن	 Q2.2 K5.1% G1 Q4.3
خَلِيَّة	 B1 G2.1/H2 S9/H2 S5+c O3 H1/L2 
آتِي	 T1.1.3 M1 A2.2 A3+ X2.1 N4 S5+ S7.1- X2.4 X2.5+ A6.1+ A1.1.1 K5.1 
قِسْم	  S1.1.2+ N5.1- S5+c B3 Y1 C1/H1@ A1.1.1 B3/X1 H2 X2.2 A6.1- G2.1/S5+c G3/S5+c G1.2 K5.2/S5+c S5+ 
قَرِيب	 N3.3- S3.1 A6.1+ T1.3- M1/N3.3- A4.2+ S5+ S1.1.3+ E2+ M3/H3 A10- A1.1.1 T2- T3- T1.1.3/N3.8+ T3--- A6 S4m S4 
تارِيخِيّ	 T1.1.1 T3+ 
تَقَدَّم	 T1.1.2 A2.2 S1.1.3+ T4+ N4 I1.1 M1/G3 A5.1+/A2.1+ M1 S8+ 
شَخْصِيّ	 A10- S5- B1 S1.2.1+ B4
سِعْر	 I1.3 N5 A5.1 
أَبْيَض	 O4.3 G2.2+ O4.3/S2mf F2 F1 B1 
فَوْقَ	 Z5 M6 A5.1++ N5.2+ T2- K5.1 A13.2 
واضِح	 A7+ A10+ O4.3 O4.1 N5.1+ K5.1/X9.2+ B4 A11.2+ X3.4 
نَجاح	 X9.2+ X8+ X9.1+
قَصِيدَة	 Q3 E1
إِيمان	 X2.1 E6+ S9 Z1f
خُصُوص	 A14 X4.1 A11.1+ X2.1 A4.1  
مُعَدَّل	 A6.2+ A5.1 N2 N3.8 N5 I1.3 Q1.1 X7+ A2.1+ P1
إِنْجلِيزِيّ	 Z2 Z2/Q3 Z2/Sm Z2/S2mf
ماذا	 Z5 
تَطَوُّر	 A5.1+/A2.1 T2++ A2.1+ H1 A3+/A11.1+ A6.2- S1.1.1/X7+ K5 
رَئِيسِيّ	 A11.1+ N5+++ O3 A11.1+++ S7.1+/S2mf 
تِجارِيّ	 I2.1 I2.2/Q2.2 A1.1.1 A5.1+++ 
باحِث	 P1/S2m X2.4/S2m X2.4 I3.1/S2m
عُنْوان	 H4 Q2.2 Q1.2 Q4 S7.1+ A9+ Q4.2 K4 
شَجَرَة	 L3 S4 
ضَرُورَة	 S6+ A11.1+  
حِمايَة	 S8+/A15+ A10- G3
جَهْد	X8+ X9.2 Y1 K5.1 T2+ N5-
أَدَبِيّ	 Q4.1 E1 X4.1 P1
سَلام	 E3+ Q2.2/S1.2.4+ E1 X3 S1.1.1 Q2.2 Q3 K2 Z1m 
عَلِم-َ	 X2.2+ X2.5+ 
مُدِين	 I1.1/S2m A9- 
مَنْهَج	 X4.2 E1 S1.1.1 Q2.2 X7+ Q1.2 P1 
فَعَل-َ	 S1.1.3+ A1.1.1 G2.2- X9.2+ E3- G2.1% Z5 A5.4- G2.1 Q3/P1 T1.1.1 A8 
مُجَرَّد	A14 A11.1- M6 O4.1 B5- A13.2 A10+ A5.4+  A4.2+ G2.2+ 
وِزارَة	 G1.1  
صَدِيق	 S3.1/S2m 
زِراعِيّ	 F4 
شَخْصِيَّة	 S2 A6.1+ Q1.2 S2mf S1.2 
قَطِيع	 A4.1 A4.1 L2/N5+ L2/S5+ M1/N5+ 
مَفْهُوم	 X2.5+ X4.1 Q3 S1.2.6+ E1 X2.1 X9.1+ A8 A11.1+ X7+ 
جَرَى-ِ	 M1 A2.1+ A3+ X2.1 X7-  A1.1.1 
ضَغْط	 A11.1+ A1.1.1 X8+ S7.1+ E6- M2 M1 I2.2 F3 I3.1- N3.5 A1.7+ A1.1.2 Q2.2 O3 W4 B2-
والِد	 S4m S2.2m S4 
ٱِخْتِلاف	 A6.1- E2- A6.3+ 
أَلّا	 Z5 Z6 
صَحِيح	 A5.2+ A5.4+ A5.3+ A5.3+/A2.1 A1.2+ G2.2+ M6 S7.4+ G1.2 X9.2+ A5.1+ 
عَدّ-ُ	 N2 A11.1+ X2.1 X2.4 X6 
شَمِل-َ	 A1.8+ A1.7+ 
كَرِيم	 S1.2.2- G2.2+ E2+ I1.1+ Z1m S1.2 S1.2.1+ 
طَلَب	 X2.4 Q2.1 Q2.2 S6+ X7+ S8+ I2.2 S3/S1.1.1
شَمْس	 W1 W2 W4 Z3 K1/W4 
مَدَى	 N5 N3.6 N3.3 A6.3+ W3 O4.1 T1.3 T1.1.1 P1/T1.3 A1.2
صِناعِيّ	 I4 A5.4- 
مال	 I1 I1.1 G1.1 Q1.2 G2.1 M7/G1.1 N5+ A1.5.2+ 
ضَمّ-ُ	 A1.8+ S5+ S1.1.3
تَعاوُن	 S8+ S5+/S8+
كُوَيْت	 Z2 
خِلاف	 A6.1- Q2.2/A6.1- Q2.2 G3 E3- 
تَعَرَّض	 S3.1 A1.1.1 
واسِع	 N3.6+ N3.7+ N5+ A4.2- A6.3+ W3 H1
أَطْلَق	 A1.7- A9- I2.2 K3 Q4 E6+ G3 M2 A2.2 G2.1 Y2 
إِقامَة	 H4 G1.1/Q1.2 A1.1.1  
سِوَى	 Z5 A6.1+ A1.8- 
نُقْطَة	 Q2.1 X4.1 A5.1 A1.5.2 M7 T1.2 O4.4 K5 M6 I3.1 K5.1% 
تَمام	 A5.3+ A9+ N5.1+ T2- N3.2+ Q1.2 A4.2+ A13.2 
ضَوْء	 W2 O4.3 X3.4 O3/W2 O4.6+ Y1
طَرَف	S1.1.3+mf K5.2/S2m S1.1.3+/S2mf K4/S2mf G1.2 S5+ A4.1 M6 N5.1- S7.3+/S5+ B1 S1.1.3+ G1.2 G2.1
سُنَّة	 S9 A6.2+ X4.2 A4.1 S5+/S9
قِطاع	 A4.1 S5+ M7 N5.1- S5+ C1/H1@  
ٱِقْتِصاد	 I2.1 I1.3- I1.1 A9+ S8+ S9
أَقَلِّيَّة	 N5- S5/N5-
وَرَق	 Q4.2 O1.1 Q1.2 P1/Q1.2 H5 B5 O2 N5 L3 K1/T1.3 
أَصاب	 I3.1- E3- G3 A10+ K5.1 A1.1.1 A11.2+ A8 X3.3 E6- B2-
نَفْسِيّ	 X2 B2/X2 S1.2.6- S9 X1 
طَعام	 F1 
كَوْن	 W1 A3+ L1 A3+/A11.1+  A4.1 
شَبّ	 T3-/S2m T3- 
جِيل	 T1.3 S5+ 
فِلَسْطِين	 Z2 
إِنْشاء	 T2+ X6+ H1 A1.1.1 O2 X2.1 S1.1.1 P1/Q1.2 Q1.2 X8+ N5.1+ Q1.2/P1  Q3 C1 
طاقَة	 X5.2+ Y1 O3 S1.2.5+ A1.1.1  
ٱِخْتِيار	 A5.1+ X7+ A6.3+ E2++ 
جَنُوب	 M6 M7 
قِيام	 A1.1.1 A1.1.1/S9
ناحِيَة	 A4.1 M6 N5.1- X4.1 C1 M7 N3.6 
سَلَّم	 S7.1- A9- Q2.2/S1.2.4+ E1 X3 
تَرْجَمَة	 Q3 A2.1+ X2.5+ Q4.1 Q4.3 Q1.2 
ساعَد	 S8+ I1.1 B5% A1.1.1 K5.1 A10+ A9- A2.2 S1.1.3+ 
رَمَضان	 S9/T1.3 
خَلِيج	 W3/M4 
إِمام	 S9/S7.1+/S2.2m S7.1+/S2m A5.1+++/S2m  
جَبَل	 W3 
غَرِيب	 A6.2- A6.2-- X2.2-/S2m Z2/S2m I3.1/S2m Z1m 
مات-ُ	 L1- T2- 
كَلام	 Q2.1 Q3 Q2.2 
لِقاء	 S1.1.3+ S3.1 K5.1 S9 A1.1.1 X9.2+ A6.1+ Q2.1 S3.2 S1.1.2 
جَمْعِيَّة	 S5+ A6.1+/X2.1 
حَلّ	 X4.2 T2- 
لَحْظَة	 T1.2 T1.1.2 N3 
رَدّ-ُ	 Q2.2 X4.1 X9.2+ S1.1.1 S1.1.2+ M1 M6 A9- I1.1 G1.1/Q1.2 K5.1 Q2.1  
نَقْل	 M2 M3 M6/A2.1+ A9- I3.1/A2.1+ Y2 M4 M5 C1 Q4.3 Q1.3 A2.1+ Q2.2 I1.3 
بُعْد	 N3.2 N3.3+ S1.2.1- A1.9 
قِصَّة	 Q2.1 X4.1 Q4 
سَفَر	 M1 M2 S8- M3 M4 M5 M6 
حِوار	 Q2.1 Q2.2 
ح	 Z5 
صالِح	 A1.2+ A5.1+ K5.2 S8+ S1.1.3+ A1.5.2+ S9 G2.2+ M6/O2 Z1m 
أَجْنَبِيّ	 M7 Z2/S2m I3.1/S2m
فِقْه	S9 P1/S9 Q4.1 G2.1/S9
سَمَّى	 Q2.2 X7+ 
شارِع	 M3/H3 O1.1
مُباشِر	 M6 A10+ S1.1.1 Q2.2 S7.1+ K4 T1.1.2/A11.1+ K5.1
شارَك	S1.1.3+ A1.8+ S8+
سَوْفَ	 X7+ T1.1.3 A13.3 A7+
يُوسِف	 Z1m 
حَوالَى	 A13.4 Z5 M6 
ٱِسْتَمَرّ	 T2++ T1.3 
صَلَّى	 S9/Q2.2 S9 S7.2+ E2++ 
حِزْب	  G1.2 S1.1.3+/S2mf S5+ A4.1 S1.1.3+  
خَطَر	 A15- E3- X2.6+ E5- 
مَزِيد	 N5++ A13.3 N6++ N5+/A2.1 
عَوْدَة	 M6 M1 A9- N6 I1.1 M3 K5.1  
قُدْس	 Z2 Z3 
بَحَث-َ	 Q2.2 X2.4 P1/Q1.2 Y1
مُتَخَصِّص	 A4.2+ X2.2+ X2.2+/S2m B3/S2m
قاهِرَة	 Z2 A12-
تَقْرِير	 X6+ A2.2 A7+ Q2.2 S7.1- I1 I1.3 I2.1 Y2 B2 B3 Q4.3
صِراع	 X8+ A12- E3- G3 S8- K5.1 G1.2 S7.1-
سُرْعَة	 N3.8+ N3.8 M2 M3 
جَماعَة	 K1/S1.1.3+ G1.2 S1.1.3+/S2mf S5+ K1/S1.1.3+ A4.1 S5+ A4.1 G3/S5+ S1.1.3+ G1.2 
أَلَدّ	 E3- A13.3 Q2.1/E3- 
مُدِير	 S7.1+/S2m S7.1+/S2mf K4/S2m K1/S7.1+/S2m K5/S7.1+/S2m S7.1+ K5.1/S2m
ٱِسْتِمْرار	 T2++ T1.3 N6+
صَدَر-ُ	Q4 A2.1 A10+ G2.1/Q1.2 G1.1/Q1.2 A1.1.1
مَوْجُود	 A3+ T1.1.2 S1.1.3+ O4.1 T2+ A10+ X2.1 X6+  
حُصُول	 A9+ A2.1+ A3+ N6 A3+/X2.6- X7- 
أَمْرِيكا	 Z2 
صِحِّيّ	 B2 X9.2 B2+ X9.2+ A5.1+ B4 
قَدَم	 B1 O2 N3.7 N3.3 N4 
طائِرَة	 M5  
ش	Z5
عَدُوّ	 S1.2.1-/S2mf S8- G3 E3
ٱِرْتِفاع	 N3.7+/A2.1 N5+/A2.1 N3.2+/A2.1 S7.1+/A2.1 O4.4 M1 N3.7 A11.1+/A2.1 C1/H1 
عانَى	 E4.1- B2- X3 A5.1-/A2.1 S7.4+ X9.2- A12- B2-
وُصُول	 M1 T2- X9.2+ A9+ Q1.2/I1 I1.1 I1/Q1.2 Q1.2 A1.1.1
دُخُول	 M7 M1 T2+ M1/A10- A1.8+ S1.1.3+ 
تَعْبِير	 Q3 E1/B1 E1 Q1.2/P1
فَضْل	 A6.1- A5.1+ S7.2+ A5.1 S1.2.1+ A5.1++ S7.1++ S1.2.3+ N5.2+ 
صَحِيفَة	 Q4.2 
وَطَن	 G1.1c S5+c M7 
رَغْبَة	 X7+ S3.2 G2.1/Q1.2 T1.1.3 
طَبْع	 S1.2 E3-/S1.2 Z4 Q1.2 
آلَة	 O2 K2 X4.2 B3 Y1 S7.1 Y2 A1.1.1 
أَمِين	 Z1m S6+ A5.2+ S9 S9/S2 I3.2/S2m S7.1+/S2m I1.1/S2m S1.2+
تَقْرِيب	 X2.1/A7- A13.4 
حَرارَة	 O4.6 O4.6+ E1 A1.1.1 S7.3 B2- X5.2+ W4
ٱِخْتَلَف	 A6.1- E2- A6.3
نِصْف	 N5 N1 A13.4 N4 M6 T1.2 H1 F2/N5 N5-/A2.1 F1/N5
عَهْد	 X2.2+ S7.4+ G3 G1.1 G2.1 T3 T1.3 T3++ T1.1.1 Q3 P1/T1.3 T1.3+ S6+
نادِي	 S5+ O2 K1 A6.1+/X2.1 K5.2@ K5.1 
إِسْرائِيل	 Z2 
أَمِير	 S7.1+/S2.2m 
ٱِخْتار	 X7+ A5.1+++ O2 A1.1.1 X7+/A5.1+++ X6+
رَدّ	 Q2.2 Q2.1 S1.1.2+ A9- I1.1 G1.1/Q1.2 K5.1 S1.1.1 X4.1  
إِبْداع	 A6.2- X2.1/A6.2- C1 Q4.1 
ع	Z5
صَلاة	 S9/Q2.2 
أَوْسَط	 N4 M6 N5 T1.2 A11.1+ M7 W3
أَظْهَر	 A8 K4 S1.1.1 I2.2/S1.1.1 A10+ A11.2+ G1.2 A7++ A10++ O4.3 O4.1 N5.1++ 
فَتْح	 A1.1.1 T2+ O2 I3.1 X9.2+ A10+
كُتّاب	S2.2m H1/P1/S9
أُورُبّا	 Z2 
دَفَع-َ	 M2 X8+ S7.1+ I3.1- M1 I2.2 F3 A2.2 I1.1/I3.1 I1.2 A9- 
وَقَى-ِ	 A15+ L2 S8+ A9+/A2.1- A1.1.1/A15+ A1.3+
أَثْناءَ	 Z5 T1.1.2 
ٱِنْتَظَر	 X2.6+ B1 
تَحَوَّل	A2.1+ A1.1.1/A2.1+ M1 A1.9
زَوْج	 S2.2m S4m A1.5.1/A1.3+ N5+ O2/N5+ 
شَرْقِيّ	 M6 S2m/M7
وَحْد	 A14 S5- S2m/N5- 
تَقَدُّم	 A5.1+/A2.1 T2++ A2.1+ M1 A5.1+/A2.1+ S8+ A1.1.1
قائِل	 Q2.1 Q2.1/S2mf
نَقَل-ُ	 M6/A2.1+ A9- I3.1/A2.1+ Y2 M3 M4 M5 C1 M2 Q2.1 Q3 A2.1+ Q4.3
شَهادَة	 Q1.2 G2.1 X3.4 S9 S9 A10+@ X3.4 G2.1 Q2.2 E4.1- Q1.2/P1
رَسْم	 C1 M2 A9+ X5.1+ I1.2 O4.2+ X2.1 K5.1 K4 Q2.1 A4.1 A10+ I1.3 I1 I1.1/G1.1 A12- I1.1/P1
سِنّ	 B1 O2 T3 T1.3 T3++ T1.3+ 
وَقَف-ِ	 M3 T2- M8 K2 A1.1.1@ M6 M2 M1 T2++ S7.4+ I2.2 S1.2.5+ 
مُواطِن	 G1.1/S2m S5+/S2m S5+ S2.2m S5+/S2mf
أَحَبّ	 S3.2 E2+ A6.1+ E2++ 
حَضارِيّ	 A5.1+/A2.1 S1.2.4+ P1 A5.1+ O4.2+ C1 S1.1.1 S5+ 
نار	 O4.6+ G3 M2 Q4.3 E3- E1 A1.5.1 W2
ٱِكْتَشَف	 A10+ Y1
شاء-َ	 X7+ S6+ A7+ A9- 
بَيان	 X2.2/X2.4 Q1.1 Q3 A10+ G1.1/Q1.1 G1.1/Q1.2 P1/Q3
إِنْتِرْنِت	 Y2 
إِعْلام	 X2.2+ Q4c 
قارِئ	 Q4.1/S2mf Q4.2/S2mf P1/S2mf Q4.1 Q3 Q1.2 X3.2+ X2.5+ P1 A10+ G2.1 
إِمْكان	 A7+ X9.1+ X9.2+
وَحِيد	 A14 N5--- L2m S5- O4.2+ A1.8- A14/Q4.2 
تَطْبِيق	 Q1.2 A1.5.1 Y2 X5.1+ A1.1.1 
نِساء	 S2.1f 
بَحْرِيّ	 M4 W3/M4 W4 
عائِلَة	 S4 A4.1 S4 A4.1 
حَسْبَ	Z5
يَهُودِيّ	 S9/S2.2m S9/S2mf 
عِبارَة	 Q3 Q2.1
مَبْدَأ	 X4.1 G2.2+ A2.2 T2+ X4.2 G2.2 
ٱِنْتَقَل	 M1 M2 A2.1+ H4/A2.1 K5.2 E1 M6/A2.1+ A9- I3.1/A2.1+ M3 M4 M5 C1 
مُعَلِّم	 P1/I3.2/S2m P1/I3.2/S2mf
سَعَى-َ	 X8+ A1.1.1 X2.4 M1 A12
حَمْلَة	 X7+/Q2.2 I2.2/Q2.2 G1.2/Q2.2 M1 B2- A1.1.2 Q2.2 S9/S5+
قِيادَة	 S7.1+ Q2.2 X9.1+ A5.1+++ Q4.2 G2.1 G3
ضِمْنَ	 Z5 M6 S1.1.3+ 
ثَوْرَة	 G1.2 A2.1+ M1@ G3 
ٱِسْتِثْمار	 I1.1 I1 I2.1
سَعِيد	 E4.1+ E4.2+ Z1m
خارِجِيّ	 M7 M6 S1.1.3- O2/M6 
مُشارَكَة	 S1.1.3+ S5+ A6.1+/X2.1 
أَتاح	 A9- S6- A10+
تَعَلَّق	A2.2+ A1.1.1
